Best_overall,Overall_rating,Potential,Age,Value
83,81,90,19,55500000.0
79,77,86,21,23500000.0
76,74,84,21,9500000.0
75,74,84,21,9500000.0
74,73,88,18,7000000.0
75,73,83,20,6000000.0
60,59,81,17,700000.0
71,69,85,18,3600000.0
83,81,89,20,53000000.0
85,84,91,19,81500000.0
81,80,86,21,31500000.0
82,81,88,22,52500000.0
81,79,87,21,39500000.0
75,73,86,19,7000000.0
76,73,88,18,7000000.0
86,84,90,24,60500000.0
68,67,87,17,2800000.0
89,86,89,24,94000000.0
84,84,90,23,66500000.0
80,79,86,22,36000000.0
84,82,85,26,40500000.0
74,72,87,20,5500000.0
86,84,91,22,86500000.0
82,80,88,21,44500000.0
71,69,88,17,3500000.0
81,79,89,17,36000000.0
86,84,91,23,84500000.0
84,82,88,22,49000000.0
84,84,88,22,61500000.0
69,68,78,22,2600000.0
80,78,87,21,31500000.0
67,64,84,17,1600000.0
72,70,85,18,3700000.0
73,73,85,19,7000000.0
90,90,90,37,41000000.0
81,81,85,24,34500000.0
79,78,85,20,26500000.0
76,75,87,19,13500000.0
90,88,94,21,148000000.0
84,83,87,23,52000000.0
81,78,88,21,32000000.0
80,80,88,20,44000000.0
84,82,91,19,66000000.0
86,85,93,19,116000000.0
77,75,85,21,12500000.0
72,70,86,18,3800000.0
81,79,89,22,39500000.0
81,79,85,23,28000000.0
84,82,89,23,61500000.0
77,75,85,20,12500000.0
85,84,87,23,52000000.0
77,75,87,20,13500000.0
70,70,85,20,3400000.0
65,62,84,17,1200000.0
84,84,90,22,62500000.0
86,85,90,24,76000000.0
80,78,86,22,29500000.0
75,75,85,19,11500000.0
85,83,89,23,58000000.0
81,79,88,20,36000000.0
69,67,86,18,2600000.0
86,84,89,23,63500000.0
83,82,86,24,40000000.0
86,84,90,23,60500000.0
82,80,87,21,40000000.0
83,81,87,22,41500000.0
84,84,85,26,49500000.0
79,77,87,19,23000000.0
84,83,89,23,52000000.0
83,83,84,25,38500000.0
81,79,86,24,32500000.0
79,77,86,22,22000000.0
83,81,86,23,35000000.0
74,70,82,20,3800000.0
80,79,87,19,38000000.0
87,87,88,29,73500000.0
88,87,90,23,100500000.0
81,79,86,22,35500000.0
77,75,84,20,12500000.0
76,76,85,21,16000000.0
80,78,85,22,26500000.0
74,72,85,19,5500000.0
92,91,95,23,190500000.0
79,78,84,23,22000000.0
86,86,92,21,109000000.0
79,77,86,19,23000000.0
74,74,85,20,9500000.0
69,64,86,18,1900000.0
64,63,84,17,1500000.0
89,89,89,29,101000000.0
88,88,92,23,103500000.0
68,68,85,18,2900000.0
92,91,91,35,54000000.0
82,80,86,23,33500000.0
88,85,92,22,109500000.0
80,78,86,21,29500000.0
81,81,87,22,38500000.0
81,79,82,25,23000000.0
89,87,92,25,116500000.0
78,78,84,23,21000000.0
83,83,88,24,44000000.0
83,82,89,20,60500000.0
76,76,77,28,6000000.0
85,83,86,25,48500000.0
80,80,85,23,25500000.0
81,80,84,24,30000000.0
75,73,86,20,7500000.0
89,89,89,28,105500000.0
87,86,86,28,69500000.0
83,81,87,24,37000000.0
86,84,88,22,61500000.0
84,84,87,23,53500000.0
81,80,87,21,43000000.0
82,79,89,20,38500000.0
75,73,87,19,7000000.0
81,79,86,21,33000000.0
70,68,85,19,3100000.0
88,88,88,28,82500000.0
86,85,87,26,59000000.0
84,82,85,24,42000000.0
82,80,85,22,33000000.0
85,84,89,21,60500000.0
80,79,85,22,26500000.0
80,78,84,22,22500000.0
87,84,90,22,68500000.0
70,70,84,20,3400000.0
85,82,87,24,46000000.0
81,79,86,23,35000000.0
78,75,85,19,12000000.0
83,79,89,19,38000000.0
75,72,85,19,5500000.0
78,76,86,19,15000000.0
68,68,83,18,2700000.0
67,65,85,18,2000000.0
80,79,82,25,21500000.0
78,76,82,22,11000000.0
84,83,87,25,45500000.0
79,78,87,22,31500000.0
72,69,86,19,3600000.0
84,84,84,36,7500000.0
91,91,91,31,107500000.0
86,84,86,25,52500000.0
82,81,86,24,35500000.0
85,84,90,23,66000000.0
83,81,86,24,35000000.0
77,75,83,22,12500000.0
78,76,87,21,17000000.0
79,77,84,21,21500000.0
73,69,82,21,3400000.0
78,77,86,20,23000000.0
76,75,85,20,12500000.0
78,76,85,20,16500000.0
75,73,85,21,7500000.0
83,81,85,22,34000000.0
75,75,83,21,12000000.0
75,74,86,19,10000000.0
85,85,85,33,33500000.0
89,89,89,30,86000000.0
88,88,88,27,97500000.0
84,83,85,25,42000000.0
77,75,78,25,7500000.0
82,81,82,26,26500000.0
82,82,84,26,34500000.0
77,76,85,22,16000000.0
82,80,85,23,31500000.0
78,77,85,21,22500000.0
80,78,83,24,19000000.0
79,78,83,24,20000000.0
77,75,84,21,12000000.0
77,76,85,21,17000000.0
74,74,82,19,8500000.0
66,64,85,18,1900000.0
74,73,86,19,7000000.0
73,73,73,35,1200000.0
87,87,88,27,91000000.0
85,82,85,26,40000000.0
78,78,83,24,20000000.0
83,82,88,23,48000000.0
80,78,83,23,21500000.0
88,86,90,24,98500000.0
80,79,85,23,26000000.0
86,84,87,23,57500000.0
84,83,88,25,53000000.0
79,79,86,22,30500000.0
87,85,89,22,71000000.0
78,77,85,22,22500000.0
74,73,80,22,6000000.0
80,76,85,22,17000000.0
76,75,85,19,12000000.0
75,73,85,20,7000000.0
77,74,84,22,9500000.0
76,74,81,20,8500000.0
68,66,84,19,2200000.0
70,67,85,18,2600000.0
66,64,84,17,1500000.0
